Name,Price in $,Role,TeamName,auction_year,Price in rs,Nationality,BasePrices in Rs,Winning Bid in Rs,Capped/UnCapped,price_rs,price_crore,match_key
Sonu Yadav ,,All-Rounder , Royal Challengers Bangalore,2023,"20,00,000 ",Indian ,,,,2000000,0.2,s_yadav
Himanshu Sharma ,,Bowler , Royal Challengers Bangalore,2023,"20,00,000 ",Indian ,,,,2000000,0.2,h_sharma
Avinash Singh ,,Bowler , Royal Challengers Bangalore,2023,"60,00,000 ",Indian ,,,,6000000,0.6,a_singh
Manoj Bhandage ,,All-Rounder , Royal Challengers Bangalore,2023,"20,00,000 ",Indian ,,,,2000000,0.2,m_bhandage
Will Jacks ,,Batter , Royal Challengers Bangalore,2023,"3,20,00,000 ",Overseas ,,,,32000000,3.2,w_jacks
Reece Topley ,,Bowler , Royal Challengers Bangalore,2023,"1,90,00,000 ",Overseas ,,,,19000000,1.9,r_topley
Rajan Kumar ,,Bowler , Royal Challengers Bangalore,2023,"70,00,000 ",Indian ,,,,7000000,0.7,r_kumar
Sanvir Singh ,,All-Rounder , Sunrisers Hyderabad,2023,"20,00,000 ",Indian ,,,,2000000,0.2,s_singh
Harry Brook ,,Batter , Sunrisers Hyderabad,2023,"13,25,00,000 ",Overseas ,,,,132500000,13.25,h_brook
Heinrich Klaasen ,,Wicket-Keeper , Sunrisers Hyderabad,2023,"5,25,00,000 ",Overseas ,,,,52500000,5.25,h_klaasen
Akeal Hosein ,,Bowler , Sunrisers Hyderabad,2023,"1,00,00,000 ",Overseas ,,,,10000000,1.0,a_hosein
Mayank Markande ,,Bowler , Sunrisers Hyderabad,2023,"50,00,000 ",Indian ,,,,5000000,0.5,m_markande
Adil Rashid ,,Bowler , Sunrisers Hyderabad,2023,"2,00,00,000 ",Overseas ,,,,20000000,2.0,a_rashid
Anmolpreet Singh ,,Batter , Sunrisers Hyderabad,2023,"20,00,000 ",Indian ,,,,2000000,0.2,a_singh
Vivrant Sharma ,,All-Rounder , Sunrisers Hyderabad,2023,"2,60,00,000 ",Indian ,,,,26000000,2.6,v_sharma
Samarth Vyas ,,All-Rounder , Sunrisers Hyderabad,2023,"20,00,000 ",Indian ,,,,2000000,0.2,s_vyas
Upendra Singh Yadav ,,Wicket-Keeper , Sunrisers Hyderabad,2023,"25,00,000 ",Indian ,,,,2500000,0.25,u_yadav
Nitish Kumar Reddy ,,Wicket-Keeper , Sunrisers Hyderabad,2023,"20,00,000 ",Indian ,,,,2000000,0.2,n_reddy
Mayank Agarwal ,,Batter , Sunrisers Hyderabad,2023,"8,25,00,000 ",Indian ,,,,82500000,8.25,m_agarwal
Mayank Dagar ,,All-Rounder , Sunrisers Hyderabad,2023,"1,80,00,000 ",Indian ,,,,18000000,1.8,m_dagar
Avanish Rao Aravelly ,,Wicket-Keeper , Chennai Super Kings,2024,"20,00,000 ",Indian ,,,,2000000,0.2,a_aravelly
Mustafizur Rahman ,,Bowler , Chennai Super Kings,2024,"2,00,00,000 ",Overseas ,,,,20000000,2.0,m_rahman
Daryl Mitchell ,,All-Rounder , Chennai Super Kings,2024,"14,00,00,000 ",Overseas ,,,,140000000,14.0,d_mitchell
Sameer Rizvi ,,Batter , Chennai Super Kings,2024,"8,40,00,000 ",Indian ,,,,84000000,8.4,s_rizvi
Rachin Ravindra ,,All-Rounder , Chennai Super Kings,2024,"1,80,00,000 ",Overseas ,,,,18000000,1.8,r_ravindra
Shardul Thakur ,,All-Rounder , Chennai Super Kings,2024,"4,00,00,000 ",Indian ,,,,40000000,4.0,s_thakur
Ricky Bhui ,,Wicket-Keeper , Delhi Capitals,2024,"20,00,000 ",Indian ,,,,2000000,0.2,r_bhui
Sumit Kumar ,,All-Rounder , Delhi Capitals,2024,"1,00,00,000 ",Indian ,,,,10000000,1.0,s_kumar
Swastik Chhikara ,,Batter , Delhi Capitals,2024,"20,00,000 ",Indian ,,,,2000000,0.2,s_chhikara
Jhye Richardson ,,Bowler , Delhi Capitals,2024,"5,00,00,000 ",Overseas ,,,,50000000,5.0,j_richardson
Shai Hope ,,Wicket-Keeper , Delhi Capitals,2024,"75,00,000 ",Overseas ,,,,7500000,0.75,s_hope
Rasikh Dar ,,Bowler , Delhi Capitals,2024,"20,00,000 ",Indian ,,,,2000000,0.2,r_dar
Kumar Kushagra ,,Wicket-Keeper , Delhi Capitals,2024,"7,20,00,000 ",Indian ,,,,72000000,7.2,k_kushagra
Tristan Stubbs ,,Wicket-Keeper , Delhi Capitals,2024,"50,00,000 ",Overseas ,,,,5000000,0.5,t_stubbs
Harry Brook ,,Batter , Delhi Capitals,2024,"4,00,00,000 ",Overseas ,,,,40000000,4.0,h_brook
Kartik Tyagi ,,Bowler , Gujarat Titans,2024,"60,00,000 ",Indian ,,,,6000000,0.6,k_tyagi
Spencer Johnson ,,Bowler , Gujarat Titans,2024,"10,00,00,000 ",Overseas ,,,,100000000,10.0,s_johnson
Manav Suthar ,,Bowler , Gujarat Titans,2024,"20,00,000 ",Indian ,,,,2000000,0.2,m_suthar
Robin Minz ,,Wicket-Keeper , Gujarat Titans,2024,"3,60,00,000 ",Indian ,,,,36000000,3.6,r_minz
Sushant Mishra ,,Bowler , Gujarat Titans,2024,"2,20,00,000 ",Indian ,,,,22000000,2.2,s_mishra
Azmatullah Omarzai ,,All-Rounder , Gujarat Titans,2024,"50,00,000 ",Overseas ,,,,5000000,0.5,a_omarzai
Shahrukh Khan ,,All-Rounder , Gujarat Titans,2024,"7,40,00,000 ",Indian ,,,,74000000,7.4,s_khan
Umesh Yadav ,,Bowler , Gujarat Titans,2024,"5,80,00,000 ",Indian ,,,,58000000,5.8,u_yadav
Mujeeb Rahman ,,Bowler , Kolkata Knight Riders,2024,"2,00,00,000 ",Overseas ,,,,20000000,2.0,m_rahman
