Name,Price in $,Role,TeamName,auction_year,Price in rs,Nationality,BasePrices in Rs,Winning Bid in Rs,Capped/UnCapped,price_rs,price_crore,match_key,role_clean,balls_bowled,runs_conceded,wickets,economy,wickets_per_match,rpr_bowling
Jaydev Unadkat,,Bowler,Delhi Daredevils,2014,"2,80,00,000",,,,,28000000,2.8,j_unadkat,bowler,2194,3219,109,8.8,5.96,2.128571
Rahul Sharma,,Bowler,Delhi Daredevils,2014,"1,90,00,000",,,,,19000000,1.9,r_sharma,bowler,935,1100,42,7.06,5.39,2.836842
Rahul Sharma,,Bowler,Delhi Daredevils,2014,"1,90,00,000",,,,,19000000,1.9,r_sharma,bowler,349,462,16,7.94,5.5,2.894737
Laxmi Ratan Shukla,,All-Rounder,Delhi Daredevils,2014,"1,50,00,000",,,,,15000000,1.5,l_shukla,allrounder,326,458,17,8.43,6.26,4.173333
James Neesham,,All-Rounder,Delhi Daredevils,2014,"1,00,00,000",,,,,10000000,1.0,j_neesham,allrounder,222,342,8,9.24,4.32,4.32
Wayne Parnell,,Bowler,Delhi Daredevils,2014,"1,00,00,000",,,,,10000000,1.0,w_parnell,bowler,758,968,40,7.66,6.33,6.33
Shahbaz Nadeem,,Bowler,Delhi Daredevils,2014,"85,00,000",,,,,8500000,0.85,s_nadeem,bowler,1444,1800,54,7.48,4.49,5.282353
Siddarth Kaul,,Bowler,Delhi Daredevils,2014,"45,00,000",,,,,4500000,0.45,s_kaul,bowler,1238,1772,63,8.59,6.11,13.577778
Rahul Shukla,,Bowler,Delhi Daredevils,2014,"40,00,000",,,,,4000000,0.4,r_shukla,bowler,130,217,7,10.02,6.46,16.15
Jayant Yadav,,All-Rounder,Delhi Daredevils,2014,"10,00,000",,,,,1000000,0.1,j_yadav,allrounder,398,447,9,6.74,2.71,27.1
Mitchell Johnson,,All-Rounder,Kings XI Punjab,2014,"6,50,00,000",,,,,65000000,6.5,m_johnson,allrounder,1301,1740,66,8.02,6.09,0.936923
Glenn Maxwell,,All-Rounder,Kings XI Punjab,2014,"6,00,00,000",,,,,60000000,6.0,g_maxwell,allrounder,965,1311,41,8.15,5.1,0.85
Rishi Dhawan,,All-Rounder,Kings XI Punjab,2014,"3,00,00,000",,,,,30000000,3.0,r_dhawan,allrounder,693,922,27,7.98,4.68,1.56
Beuran Hendricks,,Bowler,Kings XI Punjab,2014,"1,80,00,000",,,,,18000000,1.8,b_hendricks,bowler,157,239,11,9.13,8.41,4.672222
Lakshmipathy Balaji,,Bowler,Kings XI Punjab,2014,"1,80,00,000",,,,,18000000,1.8,l_balaji,bowler,1574,2083,85,7.94,6.48,3.6
Murali Kartik,,Bowler,Kings XI Punjab,2014,"1,00,00,000",,,,,10000000,1.0,m_kartik,bowler,1182,1418,39,7.2,3.96,3.96
Sandeep Sharma,,Bowler,Kings XI Punjab,2014,"85,00,000",,,,,8500000,0.85,s_sharma,bowler,2925,3758,153,7.71,6.28,7.388235
Sandeep Sharma,,Bowler,Kings XI Punjab,2014,"85,00,000",,,,,8500000,0.85,s_sharma,bowler,114,165,4,8.68,4.21,4.952941
Sandeep Sharma,,Bowler,Kings XI Punjab,2014,"85,00,000",,,,,8500000,0.85,s_sharma,bowler,264,381,11,8.66,5.0,5.882353
Mandeep Hardev Singh,,All-Rounder,Kings XI Punjab,2014,"80,00,000",,,,,8000000,0.8,m_singh,allrounder,12,26,0,13.0,0.0,0.0
Akshar Rajesh Patel,,All-Rounder,Kings XI Punjab,2014,"75,00,000",,,,,7500000,0.75,a_patel,allrounder,3152,3824,131,7.28,4.99,6.653333
Parvinder Awana,,Bowler,Kings XI Punjab,2014,"65,00,000",,,,,6500000,0.65,p_awana,bowler,774,1046,43,8.11,6.67,10.261538
Shardul Narendra Thakur,,Bowler,Kings XI Punjab,2014,"20,00,000",,,,,2000000,0.2,s_thakur,bowler,1979,2908,100,8.82,6.06,30.3
Anureet Singh,,Bowler,Kings XI Punjab,2014,"20,00,000",,,,,2000000,0.2,a_singh,bowler,486,639,31,7.89,7.65,38.25
Anureet Singh,,Bowler,Kings XI Punjab,2014,"20,00,000",,,,,2000000,0.2,a_singh,bowler,141,227,5,9.66,4.26,21.3
Anureet Singh,,Bowler,Kings XI Punjab,2014,"20,00,000",,,,,2000000,0.2,a_singh,bowler,430,636,21,8.87,5.86,29.3
Anureet Singh,,Bowler,Kings XI Punjab,2014,"20,00,000",,,,,2000000,0.2,a_singh,bowler,1453,2097,84,8.66,6.94,34.7
Shivam Sharma,,Bowler,Kings XI Punjab,2014,"10,00,000",,,,,1000000,0.1,s_sharma,bowler,2925,3758,153,7.71,6.28,62.8
Shivam Sharma,,Bowler,Kings XI Punjab,2014,"10,00,000",,,,,1000000,0.1,s_sharma,bowler,114,165,4,8.68,4.21,42.1
Shivam Sharma,,Bowler,Kings XI Punjab,2014,"10,00,000",,,,,1000000,0.1,s_sharma,bowler,264,381,11,8.66,5.0,50.0
Karanveer Singh,,All-Rounder,Kings XI Punjab,2014,"10,00,000",,,,,1000000,0.1,k_singh,allrounder,213,323,14,9.1,7.89,78.9
Jacques Kallis,,All-Rounder,Kolkata Knight Riders,2014,"5,50,00,000",,,,,55000000,5.5,j_kallis,allrounder,1799,2348,74,7.83,4.94,0.898182
Piyush Chawla,,Bowler,Kolkata Knight Riders,2014,"4,25,00,000",,,,,42500000,4.25,p_chawla,bowler,3895,5179,201,7.98,6.19,1.456471
Yusuf Pathan,,All-Rounder,Kolkata Knight Riders,2014,"3,25,00,000",,,,,32500000,3.25,y_pathan,allrounder,1184,1443,46,7.31,4.66,1.433846
Shakib Al Hasan,,All-Rounder,Kolkata Knight Riders,2014,"2,80,00,000",,,,,28000000,2.8,s_hasan,allrounder,1515,1864,71,7.38,5.62,2.007143
Morne Morkel,,Bowler,Kolkata Knight Riders,2014,"2,80,00,000",,,,,28000000,2.8,m_morkel,bowler,1699,2136,88,7.54,6.22,2.221429
Ranganath Vinay Kumar,,Bowler,Kolkata Knight Riders,2014,"2,80,00,000",,,,,28000000,2.8,r_kumar,bowler,2186,3041,127,8.35,6.97,2.489286
Umesh Yadav,,Bowler,Kolkata Knight Riders,2014,"2,60,00,000",,,,,26000000,2.6,u_yadav,bowler,3190,4442,163,8.35,6.13,2.357692
Patrick Cummins,,Bowler,Kolkata Knight Riders,2014,"1,00,00,000",,,,,10000000,1.0,p_cummins,bowler,1370,1976,66,8.65,5.78,5.78
Ryan Ten Doeschate,,All-Rounder,Kolkata Knight Riders,2014,"1,00,00,000",,,,,10000000,1.0,r_doeschate,allrounder,83,94,3,6.8,4.34,4.34
Andre Russell,,All-Rounder,Kolkata Knight Riders,2014,"60,00,000",,,,,6000000,0.6,a_russell,allrounder,1771,2691,125,9.12,8.47,14.116667
Veer Pratap Singh,,Bowler,Kolkata Knight Riders,2014,"40,00,000",,,,,4000000,0.4,v_singh,bowler,211,300,12,8.53,6.82,17.05
Veer Pratap Singh,,Bowler,Kolkata Knight Riders,2014,"40,00,000",,,,,4000000,0.4,v_singh,bowler,371,549,16,8.88,5.18,12.95
Kuldeep Singh Yadav,,Bowler,Kolkata Knight Riders,2014,"40,00,000",,,,,4000000,0.4,k_yadav,bowler,54,85,2,9.44,4.44,11.1
Kuldeep Singh Yadav,,Bowler,Kolkata Knight Riders,2014,"40,00,000",,,,,4000000,0.4,k_yadav,bowler,1786,2413,90,8.11,6.05,15.125
Corey Anderson,,All-Rounder,Mumbai Indians,2014,"4,50,00,000",,,,,45000000,4.5,c_anderson,allrounder,315,525,14,10.0,5.33,1.184444
Pragyan Ojha,,Bowler,Mumbai Indians,2014,"3,25,00,000",,,,,32500000,3.25,p_ojha,bowler,1945,2399,99,7.4,6.11,1.88
Zaheer Khan,,Bowler,Mumbai Indians,2014,"2,60,00,000",,,,,26000000,2.6,z_khan,bowler,2276,2860,119,7.54,6.27,2.411538
Jasprit Bumrah,,Bowler,Mumbai Indians,2014,"1,20,00,000",,,,,12000000,1.2,j_bumrah,bowler,3185,3840,182,7.23,6.86,5.716667
Jalaj Saxena,,All-Rounder,Mumbai Indians,2014,"90,00,000",,,,,9000000,0.9,j_saxena,allrounder,18,27,0,9.0,0.0,0.0
Josh Hazlewood,,Bowler,Mumbai Indians,2014,"50,00,000",,,,,5000000,0.5,j_hazlewood,bowler,622,830,36,8.01,6.95,13.9
Marchant De Lange,,Bowler,Mumbai Indians,2014,"30,00,000",,,,,3000000,0.3,m_lange,bowler,116,171,6,8.84,6.21,20.7
Krismar Santokie,,Bowler,Mumbai Indians,2014,"30,00,000",,,,,3000000,0.3,k_santokie,bowler,51,91,3,10.71,7.06,23.533333
Pawan Suyal,,Bowler,Mumbai Indians,2014,"10,00,000",,,,,1000000,0.1,p_suyal,bowler,107,154,2,8.64,2.24,22.4
Shreyas Gopal,,Bowler,Mumbai Indians,2014,"10,00,000",,,,,1000000,0.1,s_gopal,bowler,1000,1358,53,8.15,6.36,63.6
Steven Smith,,All-Rounder,Rajasthan Royals,2014,"4,00,00,000",,,,,40000000,4.0,s_smith,allrounder,2,5,0,15.0,0.0,0.0
Rajat Bhatia,,All-Rounder,Rajasthan Royals,2014,"1,70,00,000",,,,,17000000,1.7,r_bhatia,allrounder,1661,2059,82,7.44,5.92,3.482353
Tim Southee,,Bowler,Rajasthan Royals,2014,"1,20,00,000",,,,,12000000,1.2,t_southee,bowler,1262,1774,57,8.43,5.42,4.516667
Dhawal Kulkarni,,Bowler,Rajasthan Royals,2014,"1,10,00,000",,,,,11000000,1.1,d_kulkarni,bowler,1876,2513,91,8.04,5.82,5.290909
Abhishek Nayar,,All-Rounder,Rajasthan Royals,2014,"1,00,00,000",,,,,10000000,1.0,a_nayar,allrounder,239,323,9,8.11,4.52,4.52
Kane Richardson,,Bowler,Rajasthan Royals,2014,"1,00,00,000",,,,,10000000,1.0,k_richardson,bowler,345,479,21,8.33,7.3,7.3
Ben Cutting,,Bowler,Rajasthan Royals,2014,"80,00,000",,,,,8000000,0.8,b_cutting,bowler,288,430,12,8.96,5.0,6.25
Deepak Hooda,,Bowler,Rajasthan Royals,2014,"40,00,000",,,,,4000000,0.4,d_hooda,bowler,384,535,10,8.36,3.12,7.8
Kevon Cooper,,All-Rounder,Rajasthan Royals,2014,"30,00,000",,,,,3000000,0.3,k_cooper,allrounder,600,789,36,7.89,7.2,24.0
Vikramjeet Malik,,Bowler,Rajasthan Royals,2014,"20,00,000",,,,,2000000,0.2,v_malik,bowler,212,268,6,7.58,3.4,17.0
Ankit Nagendra Sharma,,Bowler,Rajasthan Royals,2014,"10,00,000",,,,,1000000,0.1,a_sharma,bowler,278,396,11,8.55,4.75,47.5
Ankit Nagendra Sharma,,Bowler,Rajasthan Royals,2014,"10,00,000",,,,,1000000,0.1,a_sharma,bowler,375,453,12,7.25,3.84,38.4
Rahul Tewatia,,All-Rounder,Rajasthan Royals,2014,"10,00,000",,,,,1000000,0.1,r_tewatia,allrounder,866,1117,36,7.74,4.99,49.9
Amit Mishra,,Bowler,Rajasthan Royals,2014,"10,00,000",,,,,1000000,0.1,a_mishra,bowler,3444,4193,183,7.3,6.38,63.8
Pravin Tambe,,Bowler,Rajasthan Royals,2014,"10,00,000",,,,,1000000,0.1,p_tambe,bowler,674,866,28,7.71,4.99,49.9
Yuvraj Singh,,All-Rounder, Royal Challengers Bengaluru,2014,"14,00,00,000",,,,,140000000,14.0,y_singh,allrounder,74,125,4,10.14,6.49,0.463571
Yuvraj Singh,,All-Rounder, Royal Challengers Bengaluru,2014,"14,00,00,000",,,,,140000000,14.0,y_singh,allrounder,882,1091,39,7.42,5.31,0.379286
Mitchell Starc,,Bowler, Royal Challengers Bengaluru,2014,"5,00,00,000",,,,,50000000,5.0,m_starc,bowler,879,1175,59,8.02,8.05,1.61
Varun Aaron,,Bowler, Royal Challengers Bengaluru,2014,"2,00,00,000",,,,,20000000,2.0,v_aaron,bowler,1065,1527,46,8.6,5.18,2.59
Ashok Dinda,,Bowler, Royal Challengers Bengaluru,2014,"1,50,00,000",,,,,15000000,1.5,a_dinda,bowler,1589,2103,82,7.94,6.19,4.126667
Muttiah Muralitharan,,Bowler, Royal Challengers Bengaluru,2014,"1,00,00,000",,,,,10000000,1.0,m_muralitharan,bowler,1581,1765,67,6.7,5.09,5.09
Ravi Rampaul,,Bowler, Royal Challengers Bengaluru,2014,"90,00,000",,,,,9000000,0.9,r_rampaul,bowler,278,319,17,6.88,7.34,8.155556
Harshal Patel,,Bowler, Royal Challengers Bengaluru,2014,"40,00,000",,,,,4000000,0.4,h_patel,bowler,2284,3215,151,8.45,7.93,19.825
Abu Nechim Ahmed,,Bowler, Royal Challengers Bengaluru,2014,"30,00,000",,,,,3000000,0.3,a_ahmed,bowler,362,515,15,8.54,4.97,16.566667
Sachin Rana,,Bowler, Royal Challengers Bengaluru,2014,"20,00,000",,,,,2000000,0.2,s_rana,bowler,16,18,0,6.75,0.0,0.0
Shadab Jakati,,Bowler, Royal Challengers Bengaluru,2014,"20,00,000",,,,,2000000,0.2,s_jakati,bowler,1101,1474,50,8.03,5.45,27.25
Sandeep Warrier,,Bowler, Royal Challengers Bengaluru,2014,"10,00,000",,,,,1000000,0.1,s_warrier,bowler,176,257,8,8.76,5.45,54.5
Yuzvendra Singh Chahal,,Bowler, Royal Challengers Bengaluru,2014,"10,00,000",,,,,1000000,0.1,y_chahal,bowler,3628,4681,213,7.74,7.05,70.5
Amit Mishra,,Bowler, Sunrisers Hyderabad,2014,"4,75,00,000",,,,,47500000,4.75,a_mishra,bowler,3444,4193,183,7.3,6.38,1.343158
Bhuvneshwar Kumar,,Bowler, Sunrisers Hyderabad,2014,"4,25,00,000",,,,,42500000,4.25,b_kumar,bowler,4060,5051,195,7.46,5.76,1.355294
Karn Sharma,,Bowler, Sunrisers Hyderabad,2014,"3,75,00,000",,,,,37500000,3.75,k_sharma,bowler,1520,2130,82,8.41,6.47,1.725333
Darren Sammy,,All-Rounder, Sunrisers Hyderabad,2014,"3,50,00,000",,,,,35000000,3.5,d_sammy,allrounder,244,354,14,8.7,6.89,1.968571
Ishant Sharma,,Bowler, Sunrisers Hyderabad,2014,"2,60,00,000",,,,,26000000,2.6,i_sharma,bowler,2429,3255,96,8.04,4.74,1.823077
Irfan Pathan,,All-Rounder, Sunrisers Hyderabad,2014,"2,40,00,000",,,,,24000000,2.4,i_pathan,allrounder,2113,2711,99,7.7,5.62,2.341667
Moises Henriques,,All-Rounder, Sunrisers Hyderabad,2014,"1,00,00,000",,,,,10000000,1.0,m_henriques,allrounder,979,1302,46,7.98,5.64,5.64
Parveez Rasool,,All-Rounder, Sunrisers Hyderabad,2014,"95,00,000",,,,,9500000,0.95,p_rasool,allrounder,200,273,4,8.19,2.4,2.526316
Jason Holder,,Bowler, Sunrisers Hyderabad,2014,"75,00,000",,,,,7500000,0.75,j_holder,bowler,1049,1489,59,8.52,6.75,9.0
Prasanth Parameswaran,,Bowler, Sunrisers Hyderabad,2014,"30,00,000",,,,,3000000,0.3,p_parameswaran,bowler,159,226,9,8.53,6.79,22.633333
Ashish Reddy,,Bowler, Sunrisers Hyderabad,2014,"20,00,000",,,,,2000000,0.2,a_reddy,bowler,270,400,19,8.89,8.44,42.2
Irfan Pathan,,All-Rounder,Chennai Super Kings,2015,"1,50,00,000",,,,,15000000,1.5,i_pathan,allrounder,2113,2711,99,7.7,5.62,3.746667
Rahul Sharma,,Bowler,Chennai Super Kings,2015,"30,00,000",,,,,3000000,0.3,r_sharma,bowler,935,1100,42,7.06,5.39,17.966667
Rahul Sharma,,Bowler,Chennai Super Kings,2015,"30,00,000",,,,,3000000,0.3,r_sharma,bowler,349,462,16,7.94,5.5,18.333333
Kyle Abbott,,Bowler,Chennai Super Kings,2015,"30,00,000",,,,,3000000,0.3,k_abbott,bowler,102,182,2,10.71,2.35,7.833333
Andrew Tye,,Bowler,Chennai Super Kings,2015,"20,00,000",,,,,2000000,0.2,a_tye,bowler,714,1005,48,8.45,8.07,40.35
Pratyush Singh,,All-Rounder,Chennai Super Kings,2015,"10,00,000",,,,,1000000,0.1,p_singh,allrounder,311,472,11,9.11,4.24,42.4
Angelo Mathews,,All-Rounder,Delhi Daredevils,2015,"7,50,00,000",,,,,75000000,7.5,a_mathews,allrounder,807,1095,28,8.14,4.16,0.554667
Zaheer Khan,,Bowler,Delhi Daredevils,2015,"4,00,00,000",,,,,40000000,4.0,z_khan,bowler,2276,2860,119,7.54,6.27,1.5675
Amit Mishra,,Bowler,Delhi Daredevils,2015,"3,50,00,000",,,,,35000000,3.5,a_mishra,bowler,3444,4193,183,7.3,6.38,1.822857
Gurinder Sandhu,,Bowler,Delhi Daredevils,2015,"1,70,00,000",,,,,17000000,1.7,g_sandhu,bowler,48,86,1,10.75,2.5,1.470588
Jaydev Unadkat,,Bowler,Delhi Daredevils,2015,"1,10,00,000",,,,,11000000,1.1,j_unadkat,bowler,2194,3219,109,8.8,5.96,5.418182
Marcus Stoinis,,All-Rounder,Delhi Daredevils,2015,"25,00,000",,,,,2500000,0.25,m_stoinis,allrounder,831,1300,45,9.39,6.5,26.0
K.C. Cariappa,,Bowler,Kolkata Knight Riders,2015,"2,40,00,000",,,,,24000000,2.4,k_cariappa,bowler,224,349,8,9.35,4.29,1.7875
James Neesham,,All-Rounder,Kolkata Knight Riders,2015,"50,00,000",,,,,5000000,0.5,j_neesham,allrounder,222,342,8,9.24,4.32,8.64
Sumit Narwal,,All-Rounder,Kolkata Knight Riders,2015,"10,00,000",,,,,1000000,0.1,s_narwal,allrounder,113,203,6,10.78,6.37,63.7
Pragyan Ojha,,Bowler,Mumbai Indians,2015,"50,00,000",,,,,5000000,0.5,p_ojha,bowler,1945,2399,99,7.4,6.11,12.22
Abhimanyu Mithun,,Bowler,Mumbai Indians,2015,"30,00,000",,,,,3000000,0.3,a_mithun,bowler,312,477,8,9.17,3.08,10.266667
Mitchell McClenaghan,,Bowler,Mumbai Indians,2015,"30,00,000",,,,,3000000,0.3,m_mcclenaghan,bowler,1346,1839,75,8.2,6.69,22.3
Hardik Pandya,,All-Rounder,Mumbai Indians,2015,"10,00,000",,,,,1000000,0.1,h_pandya,allrounder,1485,2196,70,8.87,5.66,56.6
Nitish Rana,,All-Rounder,Mumbai Indians,2015,"10,00,000",,,,,1000000,0.1,n_rana,allrounder,185,253,10,8.21,6.49,64.9
Christopher Morris,,All-Rounder,Rajasthan Royals,2015,"1,40,00,000",,,,,14000000,1.4,c_morris,allrounder,1801,2377,107,7.92,7.13,5.092857
Juan Theron,,Bowler,Rajasthan Royals,2015,"30,00,000",,,,,3000000,0.3,j_theron,bowler,235,311,13,7.94,6.64,22.133333
Dinesh Salunkhe,,All-Rounder,Rajasthan Royals,2015,"10,00,000",,,,,1000000,0.1,d_salunkhe,allrounder,51,80,1,9.41,2.35,23.5
Sagar Trivedi,,All-Rounder,Rajasthan Royals,2015,"10,00,000",,,,,1000000,0.1,s_trivedi,allrounder,1557,1944,73,7.49,5.63,56.3
Pardeep Sahu,,All-Rounder,Rajasthan Royals,2015,"10,00,000",,,,,1000000,0.1,p_sahu,allrounder,107,152,3,8.52,3.36,33.6
Darren Sammy,,All-Rounder, Royal Challengers Bengaluru,2015,"2,80,00,000",,,,,28000000,2.8,d_sammy,allrounder,244,354,14,8.7,6.89,2.460714
David Wiese,,All-Rounder, Royal Challengers Bengaluru,2015,"2,80,00,000",,,,,28000000,2.8,d_wiese,allrounder,307,447,17,8.74,6.64,2.371429
Sean Abbott,,Bowler, Royal Challengers Bengaluru,2015,"1,00,00,000",,,,,10000000,1.0,s_abbott,bowler,59,104,1,10.58,2.03,2.03
Adam Milne,,Bowler, Royal Challengers Bengaluru,2015,"70,00,000",,,,,7000000,0.7,a_milne,bowler,217,339,9,9.37,4.98,7.114286
Jalaj Saxena,,All-Rounder, Royal Challengers Bengaluru,2015,"10,00,000",,,,,1000000,0.1,j_saxena,allrounder,18,27,0,9.0,0.0,0.0
Trent Boult,,Bowler, Sunrisers Hyderabad,2015,"3,80,00,000",,,,,38000000,3.8,t_boult,bowler,2428,3286,128,8.12,6.33,1.665789
Praveen Kumar,,Bowler, Sunrisers Hyderabad,2015,"2,20,00,000",,,,,22000000,2.2,p_kumar,bowler,2637,3342,102,7.6,4.64,2.109091
Praveen Kumar,,Bowler, Sunrisers Hyderabad,2015,"2,20,00,000",,,,,22000000,2.2,p_kumar,bowler,31,42,1,8.13,3.87,1.759091
Ravi Bopara,,All-Rounder, Sunrisers Hyderabad,2015,"1,00,00,000",,,,,10000000,1.0,r_bopara,allrounder,213,301,13,8.48,7.32,7.32
Kane Williamson,,All-Rounder, Sunrisers Hyderabad,2015,"60,00,000",,,,,6000000,0.6,k_williamson,allrounder,18,31,0,10.33,0.0,0.0
Laxmi Ratan Shukla,,All-Rounder, Sunrisers Hyderabad,2015,"30,00,000",,,,,3000000,0.3,l_shukla,allrounder,326,458,17,8.43,6.26,20.866667
Siddarth Kaul,,Bowler, Sunrisers Hyderabad,2015,"10,00,000",,,,,1000000,0.1,s_kaul,bowler,1238,1772,63,8.59,6.11,61.1
Pawan Negi,,All-Rounder,Delhi Daredevils,2016,"8,50,00,000",,,,,85000000,8.5,p_negi,allrounder,733,954,38,7.81,6.22,0.731765
Christopher Morris,,All-Rounder,Delhi Daredevils,2016,"7,00,00,000",,,,,70000000,7.0,c_morris,allrounder,1801,2377,107,7.92,7.13,1.018571
Carlos Brathwaite,,All-Rounder,Delhi Daredevils,2016,"4,20,00,000",,,,,42000000,4.2,c_brathwaite,allrounder,266,384,16,8.66,7.22,1.719048
Pratyush Singh,,All-Rounder,Delhi Daredevils,2016,"10,00,000",,,,,1000000,0.1,p_singh,allrounder,311,472,11,9.11,4.24,42.4
Mahipal Lomror,,All-Rounder,Delhi Daredevils,2016,"10,00,000",,,,,1000000,0.1,m_lomror,allrounder,94,127,2,8.11,2.55,25.5
Syed Khaleel Ahmed,,All-Rounder,Delhi Daredevils,2016,"10,00,000",,,,,1000000,0.1,s_ahmed,allrounder,549,850,21,9.29,4.59,45.9
Syed Khaleel Ahmed,,All-Rounder,Delhi Daredevils,2016,"10,00,000",,,,,1000000,0.1,s_ahmed,allrounder,103,154,5,8.97,5.83,58.3
Pawan Suyal,,Bowler,Delhi Daredevils,2016,"10,00,000",,,,,1000000,0.1,p_suyal,bowler,107,154,2,8.64,2.24,22.4
Praveen Kumar,,Bowler,Gujarat Lions,2016,"3,50,00,000",,,,,35000000,3.5,p_kumar,bowler,2637,3342,102,7.6,4.64,1.325714
Praveen Kumar,,Bowler,Gujarat Lions,2016,"3,50,00,000",,,,,35000000,3.5,p_kumar,bowler,31,42,1,8.13,3.87,1.105714
Dale Steyn,,Bowler,Gujarat Lions,2016,"2,30,00,000",,,,,23000000,2.3,d_steyn,bowler,2282,2583,105,6.79,5.52,2.4
Dwayne Smith,,All-Rounder,Gujarat Lions,2016,"2,30,00,000",,,,,23000000,2.3,d_smith,allrounder,557,825,27,8.89,5.82,2.530435
Dhawal Kulkarni,,Bowler,Gujarat Lions,2016,"2,00,00,000",,,,,20000000,2.0,d_kulkarni,bowler,1876,2513,91,8.04,5.82,2.91
Andrew Tye,,All-Rounder,Gujarat Lions,2016,"50,00,000",,,,,5000000,0.5,a_tye,allrounder,714,1005,48,8.45,8.07,16.14
Shadab Jakati,,All-Rounder,Gujarat Lions,2016,"20,00,000",,,,,2000000,0.2,s_jakati,allrounder,1101,1474,50,8.03,5.45,27.25
Pravin Tambe,,Bowler,Gujarat Lions,2016,"20,00,000",,,,,2000000,0.2,p_tambe,bowler,674,866,28,7.71,4.99,24.95
Pradeep Sangwan,,All-Rounder,Gujarat Lions,2016,"20,00,000",,,,,2000000,0.2,p_sangwan,allrounder,905,1267,44,8.4,5.83,29.15
Amit Mishra,,Bowler,Gujarat Lions,2016,"10,00,000",,,,,1000000,0.1,a_mishra,bowler,3444,4193,183,7.3,6.38,63.8
Shivil Kaushik,,Bowler,Gujarat Lions,2016,"10,00,000",,,,,1000000,0.1,s_kaushik,bowler,210,304,6,8.69,3.43,34.3
Sarabjit Ladda,,Bowler,Gujarat Lions,2016,"10,00,000",,,,,1000000,0.1,s_ladda,bowler,141,225,5,9.57,4.26,42.6
Mohit Sharma,,Bowler,Kings XI Punjab,2016,"6,50,00,000",,,,,65000000,6.5,m_sharma,bowler,2308,3278,147,8.52,7.64,1.175385
Kyle Abbott,,Bowler,Kings XI Punjab,2016,"2,10,00,000",,,,,21000000,2.1,k_abbott,bowler,102,182,2,10.71,2.35,1.119048
K.C. Cariappa,,Bowler,Kings XI Punjab,2016,"80,00,000",,,,,8000000,0.8,k_cariappa,bowler,224,349,8,9.35,4.29,5.3625
Marcus Stoinis,,All-Rounder,Kings XI Punjab,2016,"55,00,000",,,,,5500000,0.55,m_stoinis,allrounder,831,1300,45,9.39,6.5,11.818182
Pardeep Sahu,,All-Rounder,Kings XI Punjab,2016,"10,00,000",,,,,1000000,0.1,p_sahu,allrounder,107,152,3,8.52,3.36,33.6
Swapnil Singh,,All-Rounder,Kings XI Punjab,2016,"10,00,000",,,,,1000000,0.1,s_singh,allrounder,19,25,1,7.89,6.32,63.2
Swapnil Singh,,All-Rounder,Kings XI Punjab,2016,"10,00,000",,,,,1000000,0.1,s_singh,allrounder,193,265,10,8.24,6.22,62.2
Swapnil Singh,,All-Rounder,Kings XI Punjab,2016,"10,00,000",,,,,1000000,0.1,s_singh,allrounder,165,241,7,8.76,5.09,50.9
