bowler,balls_bowled,runs_conceded,wickets,economy,wickets_per_match,match_key
K Yadav,54,85,2,9.44,4.44,k_yadav
KA Jamieson,179,271,9,9.08,6.03,k_jamieson
KA Maharaj,36,39,2,6.5,6.67,k_maharaj
KA Pollard,1586,2200,81,8.32,6.13,k_pollard
KAJ Roach,52,80,0,9.23,0.0,k_roach
KC Cariappa,224,349,8,9.35,4.29,k_cariappa
KH Pandya,2183,2644,80,7.27,4.4,k_pandya
KJ Abbott,102,182,2,10.71,2.35,k_abbott
KK Ahmed,1345,1918,78,8.56,6.96,k_ahmed
KK Cooper,600,789,36,7.89,7.2,k_cooper
KL Nagarkoti,185,287,5,9.31,3.24,k_nagarkoti
KM Asif,143,232,7,9.73,5.87,k_asif
KMA Paul,180,239,10,7.97,6.67,k_paul
KMDN Kulasekara,107,122,6,6.84,6.73,k_kulasekara
KP Appanna,222,291,11,7.86,5.95,k_appanna
KP Pietersen,180,218,9,7.27,6.0,k_pietersen
KR Mayers,46,59,0,7.7,0.0,k_mayers
KR Sen,255,396,14,9.32,6.59,k_sen
KS Williamson,18,31,0,10.33,0.0,k_williamson
KT Maphaka,39,90,1,13.85,3.08,k_maphaka
KV Sharma,1520,2130,82,8.41,6.47,k_sharma
KW Richardson,345,479,21,8.33,7.3,k_richardson
Kamran Khan,177,248,14,8.41,9.49,k_khan
Karanveer Singh,213,323,14,9.1,7.89,k_singh
Kartik Tyagi,458,720,16,9.43,4.19,k_tyagi
Kuldeep Yadav,1786,2413,90,8.11,6.05,k_yadav
L Ablish,45,76,5,10.13,13.33,l_ablish
L Balaji,1574,2083,85,7.94,6.48,l_balaji
L Ngidi,342,460,28,8.07,9.82,l_ngidi
L Wood,38,94,1,14.84,3.16,l_wood
LA Carseldine,7,6,1,5.14,17.14,l_carseldine
LB Williams,42,74,1,10.57,2.86,l_williams
LE Plunkett,154,228,4,8.88,3.12,l_plunkett
LH Ferguson,1002,1451,57,8.69,6.83,l_ferguson
LI Meriwala,19,32,1,10.11,6.32,l_meriwala
LJ Wright,75,125,2,10.0,3.2,l_wright
LMP Simmons,18,34,1,11.33,6.67,l_simmons
LPC Silva,6,21,0,21.0,0.0,l_silva
LR Shukla,326,458,17,8.43,6.26,l_shukla
LRPL Taylor,13,24,0,11.08,0.0,l_taylor
LS Livingstone,267,395,11,8.88,4.94,l_livingstone
Lalit Yadav,294,430,11,8.78,4.49,l_yadav
M Ashwin,898,1182,35,7.9,4.68,m_ashwin
M Jansen,487,732,22,9.02,5.42,m_jansen
M Kartik,1182,1418,39,7.2,3.96,m_kartik
M Manhas,42,42,0,6.0,0.0,m_manhas
M Markande,737,1081,37,8.8,6.02,m_markande
M Morkel,1699,2136,88,7.54,6.22,m_morkel
M Muralitharan,1581,1765,67,6.7,5.09,m_muralitharan
M Ntini,213,257,8,7.24,4.51,m_ntini
M Pathirana,503,617,38,7.36,9.07,m_pathirana
M Prasidh Krishna,1231,1741,54,8.49,5.26,m_krishna
M Shahrukh Khan,12,16,0,8.0,0.0,m_khan
M Siddharth,58,72,1,7.45,2.07,m_siddharth
M Theekshana,631,814,25,7.74,4.75,m_theekshana
M Vijay,37,49,0,7.95,0.0,m_vijay
M de Lange,116,171,6,8.84,6.21,m_lange
MA Khote,30,52,2,10.4,8.0,m_khote
MA Starc,879,1175,59,8.02,8.05,m_starc
MA Wood,127,192,11,9.07,10.39,m_wood
MB Parmar,19,33,0,10.42,0.0,m_parmar
MC Henriques,979,1302,46,7.98,5.64,m_henriques
MF Maharoof,441,532,33,7.24,8.98,m_maharoof
MG Bracewell,66,95,6,8.64,10.91,m_bracewell
MG Johnson,1301,1740,66,8.02,6.09,m_johnson
MG Neser,25,62,0,14.88,0.0,m_neser
MJ Clarke,66,72,3,6.55,5.45,m_clarke
MJ Henry,105,183,3,10.46,3.43,m_henry
MJ McClenaghan,1346,1839,75,8.2,6.69,m_mcclenaghan
MJ Santner,370,428,16,6.94,5.19,m_santner
MJ Suthar,12,26,0,13.0,0.0,m_suthar
MK Lomror,94,127,2,8.11,2.55,m_lomror
MK Tiwary,45,83,1,11.07,2.67,m_tiwary
MM Ali,770,900,40,7.01,6.23,m_ali
MM Patel,1382,1733,82,7.52,7.12,m_patel
MM Sharma,2308,3278,147,8.52,7.64,m_sharma
MN Samuels,219,285,10,7.81,5.48,m_samuels
MP Stoinis,831,1300,45,9.39,6.5,m_stoinis
MP Yadav,76,88,8,6.95,12.63,m_yadav
MR Marsh,593,803,37,8.12,7.49,m_marsh
MS Gony,925,1317,39,8.54,5.06,m_gony
MW Short,25,25,0,6.0,0.0,m_short
Mandeep Singh,12,26,0,13.0,0.0,m_singh
Mashrafe Mortaza,28,59,1,12.64,4.29,m_mortaza
Mayank Dagar,138,205,2,8.91,1.74,m_dagar
Mohammad Asif,199,307,9,9.26,5.43,m_asif
Mohammad Hafeez,63,71,2,6.76,3.81,m_hafeez
Mohammad Nabi,419,527,15,7.55,4.3,m_nabi
Mohammed Shami,2521,3486,144,8.3,6.85,m_shami
Mohammed Siraj,2081,2894,96,8.34,5.54,m_siraj
Mohit Rathee,12,29,0,14.5,0.0,m_rathee
Mohsin Khan,507,698,27,8.26,6.39,m_khan
Monu Kumar,16,20,0,7.5,0.0,m_kumar
Mujeeb Ur Rahman,452,598,20,7.94,5.31,m_rahman
Mukesh Choudhary,298,452,16,9.1,6.44,m_choudhary
Mukesh Kumar,420,707,31,10.1,8.86,m_kumar
Mustafizur Rahman,1353,1792,70,7.95,6.21,m_rahman
N Burger,105,152,7,8.69,8.0,n_burger
N Rana,185,253,10,8.21,6.49,n_rana
N Thushara,172,259,8,9.03,5.58,n_thushara
N Wadhera,12,13,0,6.5,0.0,n_wadhera
NA Saini,15,35,0,14.0,0.0,n_saini
NB Singh,25,18,1,4.32,4.8,n_singh
ND Doshi,57,79,2,8.32,4.21,n_doshi
NJ Rimmington,18,20,0,6.67,0.0,n_rimmington
NL McCullum,30,35,0,7.0,0.0,n_mccullum
NLTC Perera,715,1031,37,8.65,6.21,n_perera
NM Coulter-Nile,892,1125,52,7.57,7.0,n_coulter-nile
NT Ellis,365,514,19,8.45,6.25,n_ellis
Naman Dhir,29,55,0,11.38,0.0,n_dhir
Navdeep Saini,682,968,26,8.52,4.57,n_saini
Naveen-ul-Haq,407,602,26,8.87,7.67,n_unknown
Nithish Kumar Reddy,118,208,4,10.58,4.07,n_reddy
Noor Ahmad,513,672,24,7.86,5.61,n_ahmad
O Thomas,63,85,5,8.1,9.52,o_thomas
OC McCoy,180,255,11,8.5,7.33,o_mccoy
OF Smith,95,179,7,11.31,8.84,o_smith
P Amarnath,132,241,7,10.95,6.36,p_amarnath
P Awana,774,1046,43,8.11,6.67,p_awana
P Dubey,67,91,1,8.15,1.79,p_dubey
P Kumar,2637,3342,102,7.6,4.64,p_kumar
P Negi,733,954,38,7.81,6.22,p_negi
P Parameswaran,159,226,9,8.53,6.79,p_parameswaran
P Prasanth,6,18,0,18.0,0.0,p_prasanth
P Ray Barman,24,56,0,14.0,0.0,p_barman
P Sahu,107,152,3,8.52,3.36,p_sahu
P Suyal,107,154,2,8.64,2.24,p_suyal
PC Valthaty,153,207,7,8.12,5.49,p_valthaty
PD Collingwood,90,101,5,6.73,6.67,p_collingwood
PH Solanki,36,39,2,6.5,6.67,p_solanki
PJ Cummins,1370,1976,66,8.65,5.78,p_cummins
PJ Sangwan,905,1267,44,8.4,5.83,p_sangwan
PM Sarvesh Kumar,31,42,1,8.13,3.87,p_kumar
PP Chawla,3895,5179,201,7.98,6.19,p_chawla
PP Ojha,1945,2399,99,7.4,6.11,p_ojha
PV Tambe,674,866,28,7.71,4.99,p_tambe
PVD Chameera,297,442,11,8.93,4.44,p_chameera
PWH de Silva,557,758,36,8.17,7.76,p_silva
Pankaj Singh,311,472,11,9.11,4.24,p_singh
Parvez Rasool,200,273,4,8.19,2.4,p_rasool
R Ashwin,4679,5435,198,6.97,5.08,r_ashwin
R Bhatia,1661,2059,82,7.44,5.92,r_bhatia
R Dhawan,693,922,27,7.98,4.68,r_dhawan
R Goyal,24,34,0,8.5,0.0,r_goyal
R McLaren,372,558,14,9.0,4.52,r_mclaren
R Ninan,36,65,3,10.83,10.0,r_ninan
R Parag,181,307,5,10.18,3.31,r_parag
R Powell,21,35,1,10.0,5.71,r_powell
R Rampaul,278,319,17,6.88,7.34,r_rampaul
R Ravindra,12,7,0,3.5,0.0,r_ravindra
R Sai Kishore,191,259,13,8.14,8.17,r_kishore
R Sanjay Yadav,14,23,0,9.86,0.0,r_yadav
R Sathish,144,233,6,9.71,5.0,r_sathish
R Sharma,935,1100,42,7.06,5.39,r_sharma
R Shepherd,133,260,6,11.73,5.41,r_shepherd
R Shukla,130,217,7,10.02,6.46,r_shukla
R Tewatia,866,1117,36,7.74,4.99,r_tewatia
R Vinay Kumar,2186,3041,127,8.35,6.97,r_kumar
RA Jadeja,3895,4917,169,7.57,5.21,r_jadeja
RA Shaikh,6,11,0,11.0,0.0,r_shaikh
RA Tripathi,6,12,0,12.0,0.0,r_tripathi
RD Chahar,1697,2165,76,7.65,5.37,r_chahar
RE van der Merwe,455,515,25,6.79,6.59,r_merwe
RG More,37,63,1,10.22,3.24,r_more
RG Sharma,349,462,16,7.94,5.5,r_sharma
RJ Gleeson,51,72,1,8.47,2.35,r_gleeson
RJ Harris,865,1085,47,7.53,6.52,r_harris
RJ Peterson,48,70,3,8.75,7.5,r_peterson
RJW Topley,107,182,5,10.21,5.61,r_topley
RN ten Doeschate,83,94,3,6.8,4.34,r_doeschate
RP Meredith,415,621,21,8.98,6.07,r_meredith
RP Singh,1874,2417,100,7.74,6.4,r_singh
RR Bhatkal,12,35,0,17.5,0.0,r_bhatkal
RR Bose,12,24,0,12.0,0.0,r_bose
RR Powar,443,538,15,7.29,4.06,r_powar
RR Raje,144,214,7,8.92,5.83,r_raje
RS Bopara,213,301,13,8.48,7.32,r_bopara
RS Gavaskar,6,8,0,8.0,0.0,r_gavaskar
RS Hangargekar,43,60,3,8.37,8.37,r_hangargekar
RV Gomez,97,130,6,8.04,7.42,r_gomez
RV Patel,20,22,0,6.6,0.0,r_patel
RW Price,18,33,0,11.0,0.0,r_price
Ramandeep Singh,45,64,6,8.53,16.0,r_singh
Rashid Khan,2901,3340,157,6.91,6.49,r_khan
Rasikh Salam,207,341,9,9.88,5.22,r_salam
Ravi Bishnoi,1460,1861,68,7.65,5.59,r_bishnoi
S Aravind,788,1057,48,8.05,7.31,s_aravind
S Badree,263,329,11,7.51,5.02,s_badree
S Dhawan,49,72,4,8.82,9.8,s_dhawan
S Dube,117,190,6,9.74,6.15,s_dube
S Gopal,1000,1358,53,8.15,6.36,s_gopal
S Joseph,30,51,0,10.2,0.0,s_joseph
S Kaul,1238,1772,63,8.59,6.11,s_kaul
S Kaushik,210,304,6,8.69,3.43,s_kaushik
S Ladda,141,225,5,9.57,4.26,s_ladda
S Lamichhane,211,297,14,8.45,7.96,s_lamichhane
S Midhun,13,29,0,13.38,0.0,s_midhun
S Nadeem,1444,1800,54,7.48,4.49,s_nadeem
S Narwal,113,203,6,10.78,6.37,s_narwal
S Rana,16,18,0,6.75,0.0,s_rana
S Randiv,180,223,8,7.43,5.33,s_randiv
S Sandeep Warrier,176,257,8,8.76,5.45,s_warrier
S Sreesanth,947,1221,43,7.74,5.45,s_sreesanth
S Sriram,18,49,0,16.33,0.0,s_sriram
S Tyagi,220,304,6,8.29,3.27,s_tyagi
S Vidyut,13,22,1,10.15,9.23,s_vidyut
SA Abbott,59,104,1,10.58,2.03,s_abbott
SA Yadav,6,8,0,8.0,0.0,s_yadav
SB Bangar,153,221,6,8.67,4.71,s_bangar
SB Jakati,1101,1474,50,8.03,5.45,s_jakati
SB Joshi,55,82,1,8.95,2.18,s_joshi
SB Styris,222,278,9,7.51,4.86,s_styris
SB Wagh,108,147,5,8.17,5.56,s_wagh
SC Ganguly,280,370,12,7.93,5.14,s_ganguly
SC Kuggeleijn,50,71,2,8.52,4.8,s_kuggeleijn
SD Chitnis,38,62,2,9.79,6.32,s_chitnis
SE Bond,191,225,9,7.07,5.65,s_bond
SE Rutherford,46,60,1,7.83,2.61,s_rutherford
SH Johnson,99,155,4,9.39,4.85,s_johnson
SJ Srivastava,306,444,15,8.71,5.88,s_srivastava
SK Raina,930,1139,30,7.35,3.87,s_raina
SK Trivedi,1557,1944,73,7.49,5.63,s_trivedi
SK Warne,1223,1465,60,7.19,5.89,s_warne
SL Malinga,2974,3486,188,7.03,7.59,s_malinga
SM Boland,43,56,3,7.81,8.37,s_boland
SM Curran,1234,1924,62,9.35,6.03,s_curran
SM Harwood,67,74,3,6.63,5.37,s_harwood
SM Pollock,280,307,13,6.58,5.57,s_pollock
SMSM Senanayake,195,211,9,6.49,5.54,s_senanayake
SN Khan,2,6,0,18.0,0.0,s_khan
SN Thakur,1979,2908,100,8.82,6.06,s_thakur
SP Narine,4146,4672,200,6.76,5.79,s_narine
SPD Smith,2,5,0,15.0,0.0,s_smith
SR Tendulkar,37,59,0,9.57,0.0,s_tendulkar
SR Watson,2137,2742,107,7.7,6.01,s_watson
SS Agarwal,24,42,1,10.5,5.0,s_agarwal
SS Cottrell,131,177,6,8.11,5.5,s_cottrell
